country,year,gdpPercap,lifeExp
Afghanistan,2007,974.5803384,43.828
Albania,2007,5937.029526,76.423
Algeria,2007,6223.367465,72.301
Angola,2007,4797.231267,42.731
Argentina,2007,12779.37964,75.32
Australia,2007,34435.36744,81.235
Austria,2007,36126.4927,79.829
Bahrain,2007,29796.04834,75.635
Bangladesh,2007,1391.253792,64.062
Belgium,2007,33692.60508,79.441
Benin,2007,1441.284873,56.728
Bolivia,2007,3822.137084,65.554
Bosnia and Herzegovina,2007,7446.298803,74.852
Botswana,2007,12569.85177,50.728
Brazil,2007,9065.800825,72.39
Bulgaria,2007,10680.79282,73.005
Burkina Faso,2007,1217.032994,52.295
Burundi,2007,430.0706916,49.58
Cambodia,2007,1713.778686,59.723
Cameroon,2007,2042.09524,50.43
Canada,2007,36319.23501,80.653
Central African Republic,2007,706.016537,44.741
Chad,2007,1704.063724,50.651
Chile,2007,13171.63885,78.553
China,2007,4959.114854,72.961
Colombia,2007,7006.580419,72.889
Comoros,2007,986.1478792,65.152
"Congo, Dem. Rep.",2007,277.5518587,46.462
"Congo, Rep.",2007,3632.557798,55.322
Costa Rica,2007,9645.06142,78.782
Cote d'Ivoire,2007,1544.750112,48.328
Croatia,2007,14619.22272,75.748
Cuba,2007,8948.102923,78.273
Czech Republic,2007,22833.30851,76.486
Denmark,2007,35278.41874,78.332
Djibouti,2007,2082.481567,54.791
Dominican Republic,2007,6025.374752,72.235
Ecuador,2007,6873.262326,74.994
Egypt,2007,5581.180998,71.338
El Salvador,2007,5728.353514,71.878
Equatorial Guinea,2007,12154.08975,51.579
Eritrea,2007,641.3695236,58.04
Ethiopia,2007,690.8055759,52.947
Finland,2007,33207.0844,79.313
France,2007,30470.0167,80.657
Gabon,2007,13206.48452,56.735
Gambia,2007,752.7497265,59.448
Germany,2007,32170.37442,79.406
Ghana,2007,1327.60891,60.022
Greece,2007,27538.41188,79.483
Guatemala,2007,5186.050003,70.259
Guinea,2007,942.6542111,56.007
Guinea-Bissau,2007,579.231743,46.388
Haiti,2007,1201.637154,60.916
Honduras,2007,3548.330846,70.198
"Hong Kong, China",2007,39724.97867,82.208
Hungary,2007,18008.94444,73.338
Iceland,2007,36180.78919,81.757
India,2007,2452.210407,64.698
Indonesia,2007,3540.651564,70.65
Iran,2007,11605.71449,70.964
Iraq,2007,4471.061906,59.545
Ireland,2007,40675.99635,78.885
Israel,2007,25523.2771,80.745
Italy,2007,28569.7197,80.546
Jamaica,2007,7320.880262,72.567
Japan,2007,31656.06806,82.603
Jordan,2007,4519.461171,72.535
Kenya,2007,1463.249282,54.11
"Korea, Dem. Rep.",2007,1593.06548,67.297
"Korea, Rep.",2007,23348.13973,78.623
Kuwait,2007,47306.98978,77.588
Lebanon,2007,10461.05868,71.993
Lesotho,2007,1569.331442,42.592
Liberia,2007,414.5073415,45.678
Libya,2007,12057.49928,73.952
Madagascar,2007,1044.770126,59.443
Malawi,2007,759.3499101,48.303
Malaysia,2007,12451.6558,74.241
Mali,2007,1042.581557,54.467
Mauritania,2007,1803.151496,64.164
Mauritius,2007,10956.99112,72.801
Mexico,2007,11977.57496,76.195
Mongolia,2007,3095.772271,66.803
Montenegro,2007,9253.896111,74.543
Morocco,2007,3820.17523,71.164
Mozambique,2007,823.6856205,42.082
Myanmar,2007,944.0,62.069
Namibia,2007,4811.060429,52.906
Nepal,2007,1091.359778,63.785
Netherlands,2007,36797.93332,79.762
New Zealand,2007,25185.00911,80.204
Nicaragua,2007,2749.320965,72.899
Niger,2007,619.6768924,56.867
Nigeria,2007,2013.977305,46.859
Norway,2007,49357.19017,80.196
Oman,2007,22316.19287,75.64
Pakistan,2007,2605.94758,65.483
Panama,2007,9809.185636,75.537
Paraguay,2007,4172.838464,71.752
Peru,2007,7408.905561,71.421
Philippines,2007,3190.481016,71.688
Poland,2007,15389.92468,75.563
Portugal,2007,20509.64777,78.098
Puerto Rico,2007,19328.70901,78.746
Reunion,2007,7670.122558,76.442
Romania,2007,10808.47561,72.476
Rwanda,2007,863.0884639,46.242
Sao Tome and Principe,2007,1598.435089,65.528
Saudi Arabia,2007,21654.83194,72.777
Senegal,2007,1712.472136,63.062
Serbia,2007,9786.534714,74.002
Sierra Leone,2007,862.5407561,42.568
Singapore,2007,47143.17964,79.972
Slovak Republic,2007,18678.31435,74.663
Slovenia,2007,25768.25759,77.926
Somalia,2007,926.1410683,48.159
South Africa,2007,9269.657808,49.339
Spain,2007,28821.0637,80.941
Sri Lanka,2007,3970.095407,72.396
Sudan,2007,2602.394995,58.556
Swaziland,2007,4513.480643,39.613
Sweden,2007,33859.74835,80.884
Switzerland,2007,37506.41907,81.701
Syria,2007,4184.548089,74.143
Taiwan,2007,28718.27684,78.4
Tanzania,2007,1107.482182,52.517
Thailand,2007,7458.396327,70.616
Togo,2007,882.9699438,58.42
Trinidad and Tobago,2007,18008.50924,69.819
Tunisia,2007,7092.923025,73.923
Turkey,2007,8458.276384,71.777
Uganda,2007,1056.380121,51.542
United Kingdom,2007,33203.26128,79.425
United States,2007,42951.65309,78.242
Uruguay,2007,10611.46299,76.384
Venezuela,2007,11415.80569,73.747
Vietnam,2007,2441.576404,74.249
West Bank and Gaza,2007,3025.349798,73.422
"Yemen, Rep.",2007,2280.769906,62.698
Zambia,2007,1271.211593,42.384
Zimbabwe,2007,469.7092981,43.487
