sugarpercent,winpercent
0.73199999,66.971725
0.60399997,67.602936
0.011,32.261086
0.011,46.116505
0.90600002,52.341465
0.465,50.347546
0.60399997,56.914547
0.31299999,23.417824
0.90600002,38.010963
0.60399997,34.517681
0.60399997,38.975037
0.73199999,36.017628
0.046,24.524988
0.73199999,42.272076
0.73199999,39.460556
0.127,43.088924
0.73199999,39.185505
0.90600002,46.783348
0.465,57.11974
0.465,34.158958
0.465,51.41243
0.465,42.178772
0.127,55.375454
0.43000001,62.284481
0.43000001,56.490501
0.43000001,59.236122
0.093000002,28.127439
0.197,57.21925
0.31299999,76.7686
0.22,41.389557
0.046,39.141056
0.26699999,52.911392
0.82499999,71.46505
0.82499999,66.574585
0.87199998,46.411716
0.30199999,55.064072
0.60399997,73.099556
0.73199999,60.800701
0.96499997,64.35334
0.31299999,47.829754
0.31299999,54.526451
0.84799999,55.354046
0.60399997,70.735641
0.31299999,66.47068
0.197,22.445341
0.22,39.4468
0.465,46.296597
0.59299999,69.483788
0.093000002,37.722336
0.60399997,41.265511
0.58099997,37.348522
0.034000002,81.866257
0.72000003,84.18029
0.40599999,73.43499
0.98799998,72.887901
0.73199999,35.290756
0.86000001,65.716286
0.73199999,29.703691
0.87199998,42.849144
0.22,34.722
0.94099998,63.08514
0.94099998,55.103695
0.26699999,37.887188
0.26699999,45.995827
0.546,76.673782
0.60399997,59.529251
0.068999998,59.863998
0.068999998,52.825947
0.15099999,67.037628
0.56900001,34.578991
0.96499997,33.43755
0.41800001,32.230995
0.162,27.303865
0.60399997,54.861111
0.60399997,48.982651
0.31299999,43.068897
0.17399999,45.736748
0.465,49.653503
0.31299999,47.173229
0.546,81.642914
0.22,45.466282
0.093000002,39.011898
0.31299999,44.375519
0.186,41.904308
0.87199998,49.524113
