sugarpercent,pricepercent,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,winpercent
0.73199999,0.86000001,1,0,1,0,0,1,0,1,0,66.971725
0.60399997,0.51099998,1,0,0,0,1,0,0,1,0,67.602936
0.011,0.116,0,0,0,0,0,0,0,0,0,32.261086
0.011,0.51099998,0,0,0,0,0,0,0,0,0,46.116505
0.90600002,0.51099998,0,1,0,0,0,0,0,0,0,52.341465
0.465,0.76700002,1,0,0,1,0,0,0,1,0,50.347546
0.60399997,0.76700002,1,0,1,1,1,0,0,1,0,56.914547
0.31299999,0.51099998,0,0,0,1,0,0,0,0,1,23.417824
0.90600002,0.32499999,0,0,0,0,0,0,0,0,1,38.010963
0.60399997,0.32499999,0,1,1,0,0,0,0,0,0,34.517681
0.60399997,0.51099998,1,0,0,0,1,0,0,1,0,38.975037
0.73199999,0.51099998,0,1,0,0,0,0,0,0,1,36.017628
0.046,0.32499999,0,1,0,0,0,0,0,0,1,24.524988
0.73199999,0.51099998,0,1,0,0,0,0,0,0,1,42.272076
0.73199999,0.034000002,0,1,0,0,0,0,1,0,0,39.460556
0.127,0.034000002,0,1,0,0,0,0,0,0,1,43.088924
0.73199999,0.32499999,0,1,0,0,0,0,1,0,0,39.185505
0.90600002,0.45300001,0,1,0,0,0,0,1,0,1,46.783348
0.465,0.465,0,1,0,0,0,0,0,0,1,57.11974
0.465,0.465,0,0,0,0,0,0,0,0,1,34.158958
0.465,0.465,0,1,0,0,0,0,0,0,1,51.41243
0.465,0.465,0,1,0,0,0,0,0,0,1,42.178772
0.127,0.093000002,1,0,0,0,0,0,0,0,1,55.375454
0.43000001,0.91799998,1,0,0,0,0,1,0,1,0,62.284481
0.43000001,0.91799998,1,0,0,0,0,0,0,1,0,56.490501
0.43000001,0.91799998,1,0,0,0,0,0,0,1,0,59.236122
0.093000002,0.51099998,0,1,0,0,0,0,1,0,1,28.127439
0.197,0.51099998,1,0,0,0,0,0,0,0,1,57.21925
0.31299999,0.51099998,1,0,0,0,0,1,0,1,0,76.7686
0.22,0.116,0,1,0,0,0,0,0,0,0,41.389557
0.046,0.104,0,1,0,0,0,0,1,0,0,39.141056
0.26699999,0.27900001,0,1,0,0,0,0,0,0,0,52.911392
0.82499999,0.65100002,1,0,0,1,0,0,0,0,1,71.46505
0.82499999,0.65100002,1,0,0,0,0,0,0,0,1,66.574585
0.87199998,0.32499999,0,1,0,0,0,0,0,0,1,46.411716
0.30199999,0.51099998,1,0,1,0,0,0,0,0,1,55.064072
0.60399997,0.65100002,1,0,1,0,1,0,0,1,0,73.099556
0.73199999,0.44100001,1,0,1,0,1,0,0,1,0,60.800701
0.96499997,0.86000001,1,0,1,0,0,0,0,1,0,64.35334
0.31299999,0.86000001,1,0,0,0,0,0,0,1,0,47.829754
0.31299999,0.91799998,1,0,0,1,0,0,0,1,0,54.526451
0.84799999,0.32499999,0,1,0,0,0,0,1,0,1,55.354046
0.60399997,0.76700002,1,0,0,1,0,0,0,1,0,70.735641
0.31299999,0.76700002,1,0,0,0,0,1,0,1,0,66.47068
0.197,0.97600001,0,1,0,0,0,0,0,0,1,22.445341
0.22,0.32499999,0,1,0,0,0,0,0,0,1,39.4468
0.465,0.76700002,0,0,0,1,1,0,0,1,0,46.296597
0.59299999,0.65100002,1,0,0,1,0,0,0,0,1,69.483788
0.093000002,0.023,0,0,0,0,0,0,0,0,1,37.722336
0.60399997,0.83700001,0,1,0,0,0,0,1,0,1,41.265511
0.58099997,0.116,0,1,0,0,0,0,0,0,1,37.348522
0.034000002,0.27900001,1,0,0,1,0,0,0,0,0,81.866257
0.72000003,0.65100002,1,0,0,1,0,0,0,0,0,84.18029
0.40599999,0.65100002,1,0,0,1,0,0,0,0,1,73.43499
