Date,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,Hour,Seasons,Rented Bike Count
01/12/2017,-5.2,37,2.2,2000,0.0,0.0,0.0,No Holiday,0,Winter,254
01/12/2017,-5.5,38,0.8,2000,0.0,0.0,0.0,No Holiday,1,Winter,204
01/12/2017,-6.0,39,1.0,2000,0.0,0.0,0.0,No Holiday,2,Winter,173
01/12/2017,-6.2,40,0.9,2000,0.0,0.0,0.0,No Holiday,3,Winter,107
01/12/2017,-6.0,36,2.3,2000,0.0,0.0,0.0,No Holiday,4,Winter,78
01/12/2017,-6.4,37,1.5,2000,0.0,0.0,0.0,No Holiday,5,Winter,100
01/12/2017,-6.6,35,1.3,2000,0.0,0.0,0.0,No Holiday,6,Winter,181
01/12/2017,-7.4,38,0.9,2000,0.0,0.0,0.0,No Holiday,7,Winter,460
01/12/2017,-7.6,37,1.1,2000,0.01,0.0,0.0,No Holiday,8,Winter,930
01/12/2017,-6.5,27,0.5,1928,0.23,0.0,0.0,No Holiday,9,Winter,490
01/12/2017,-3.5,24,1.2,1996,0.65,0.0,0.0,No Holiday,10,Winter,339
01/12/2017,-0.5,21,1.3,1936,0.94,0.0,0.0,No Holiday,11,Winter,360
01/12/2017,1.7,23,1.4,2000,1.11,0.0,0.0,No Holiday,12,Winter,449
01/12/2017,2.4,25,1.6,2000,1.16,0.0,0.0,No Holiday,13,Winter,451
01/12/2017,3.0,26,2.0,2000,1.01,0.0,0.0,No Holiday,14,Winter,447
01/12/2017,2.1,36,3.2,2000,0.54,0.0,0.0,No Holiday,15,Winter,463
01/12/2017,1.2,54,4.2,793,0.24,0.0,0.0,No Holiday,16,Winter,484
01/12/2017,0.8,58,1.6,2000,0.08,0.0,0.0,No Holiday,17,Winter,555
01/12/2017,0.6,66,1.4,2000,0.0,0.0,0.0,No Holiday,18,Winter,862
01/12/2017,0.0,77,1.7,2000,0.0,0.0,0.0,No Holiday,19,Winter,600
01/12/2017,-0.3,79,1.5,1913,0.0,0.0,0.0,No Holiday,20,Winter,426
01/12/2017,-0.8,81,0.8,1687,0.0,0.0,0.0,No Holiday,21,Winter,405
01/12/2017,-0.9,83,1.5,1380,0.0,0.0,0.0,No Holiday,22,Winter,398
01/12/2017,-1.3,84,1.0,1265,0.0,0.0,0.0,No Holiday,23,Winter,323
02/12/2017,-1.8,87,1.1,994,0.0,0.0,0.0,No Holiday,0,Winter,328
02/12/2017,-2.2,86,0.6,990,0.0,0.0,0.0,No Holiday,1,Winter,308
02/12/2017,-2.9,86,1.5,1256,0.0,0.0,0.0,No Holiday,2,Winter,262
02/12/2017,-3.5,81,2.2,1221,0.0,0.0,0.0,No Holiday,3,Winter,167
02/12/2017,-3.8,79,2.0,1167,0.0,0.0,0.0,No Holiday,4,Winter,89
