sugarpercent,pricepercent,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,winpercent,popular
0.73199999,0.86000001,1,0,1,0,0,1,0,1,0,66.971725,50% or above
0.60399997,0.51099998,1,0,0,0,1,0,0,1,0,67.602936,50% or above
0.011,0.116,0,0,0,0,0,0,0,0,0,32.261086,below 50%
0.011,0.51099998,0,0,0,0,0,0,0,0,0,46.116505,below 50%
0.90600002,0.51099998,0,1,0,0,0,0,0,0,0,52.341465,50% or above
0.465,0.76700002,1,0,0,1,0,0,0,1,0,50.347546,50% or above
0.60399997,0.76700002,1,0,1,1,1,0,0,1,0,56.914547,50% or above
0.31299999,0.51099998,0,0,0,1,0,0,0,0,1,23.417824,below 50%
0.90600002,0.32499999,0,0,0,0,0,0,0,0,1,38.010963,below 50%
0.60399997,0.32499999,0,1,1,0,0,0,0,0,0,34.517681,below 50%
0.60399997,0.51099998,1,0,0,0,1,0,0,1,0,38.975037,below 50%
0.73199999,0.51099998,0,1,0,0,0,0,0,0,1,36.017628,below 50%
0.046,0.32499999,0,1,0,0,0,0,0,0,1,24.524988,below 50%
0.73199999,0.51099998,0,1,0,0,0,0,0,0,1,42.272076,below 50%
0.73199999,0.034000002,0,1,0,0,0,0,1,0,0,39.460556,below 50%
0.127,0.034000002,0,1,0,0,0,0,0,0,1,43.088924,below 50%
0.73199999,0.32499999,0,1,0,0,0,0,1,0,0,39.185505,below 50%
0.90600002,0.45300001,0,1,0,0,0,0,1,0,1,46.783348,below 50%
0.465,0.465,0,1,0,0,0,0,0,0,1,57.11974,50% or above
0.465,0.465,0,0,0,0,0,0,0,0,1,34.158958,below 50%
0.465,0.465,0,1,0,0,0,0,0,0,1,51.41243,50% or above
0.465,0.465,0,1,0,0,0,0,0,0,1,42.178772,below 50%
0.127,0.093000002,1,0,0,0,0,0,0,0,1,55.375454,50% or above
0.43000001,0.91799998,1,0,0,0,0,1,0,1,0,62.284481,50% or above
0.43000001,0.91799998,1,0,0,0,0,0,0,1,0,56.490501,50% or above
0.43000001,0.91799998,1,0,0,0,0,0,0,1,0,59.236122,50% or above
0.093000002,0.51099998,0,1,0,0,0,0,1,0,1,28.127439,below 50%
0.197,0.51099998,1,0,0,0,0,0,0,0,1,57.21925,50% or above
0.31299999,0.51099998,1,0,0,0,0,1,0,1,0,76.7686,50% or above
0.22,0.116,0,1,0,0,0,0,0,0,0,41.389557,below 50%
0.046,0.104,0,1,0,0,0,0,1,0,0,39.141056,below 50%
0.26699999,0.27900001,0,1,0,0,0,0,0,0,0,52.911392,50% or above
0.82499999,0.65100002,1,0,0,1,0,0,0,0,1,71.46505,50% or above
0.82499999,0.65100002,1,0,0,0,0,0,0,0,1,66.574585,50% or above
0.87199998,0.32499999,0,1,0,0,0,0,0,0,1,46.411716,below 50%
0.30199999,0.51099998,1,0,1,0,0,0,0,0,1,55.064072,50% or above
0.60399997,0.65100002,1,0,1,0,1,0,0,1,0,73.099556,50% or above
0.73199999,0.44100001,1,0,1,0,1,0,0,1,0,60.800701,50% or above
0.96499997,0.86000001,1,0,1,0,0,0,0,1,0,64.35334,50% or above
0.31299999,0.86000001,1,0,0,0,0,0,0,1,0,47.829754,below 50%
0.31299999,0.91799998,1,0,0,1,0,0,0,1,0,54.526451,50% or above
0.84799999,0.32499999,0,1,0,0,0,0,1,0,1,55.354046,50% or above
0.60399997,0.76700002,1,0,0,1,0,0,0,1,0,70.735641,50% or above
0.31299999,0.76700002,1,0,0,0,0,1,0,1,0,66.47068,50% or above
0.197,0.97600001,0,1,0,0,0,0,0,0,1,22.445341,below 50%
0.22,0.32499999,0,1,0,0,0,0,0,0,1,39.4468,below 50%
0.465,0.76700002,0,0,0,1,1,0,0,1,0,46.296597,below 50%
0.59299999,0.65100002,1,0,0,1,0,0,0,0,1,69.483788,50% or above
0.093000002,0.023,0,0,0,0,0,0,0,0,1,37.722336,below 50%
0.60399997,0.83700001,0,1,0,0,0,0,1,0,1,41.265511,below 50%
0.58099997,0.116,0,1,0,0,0,0,0,0,1,37.348522,below 50%
0.034000002,0.27900001,1,0,0,1,0,0,0,0,0,81.866257,50% or above
0.72000003,0.65100002,1,0,0,1,0,0,0,0,0,84.18029,50% or above
0.40599999,0.65100002,1,0,0,1,0,0,0,0,1,73.43499,50% or above
0.98799998,0.65100002,1,0,0,1,0,0,0,0,0,72.887901,50% or above
0.73199999,0.96499997,0,1,0,0,0,0,1,0,0,35.290756,below 50%
0.86000001,0.86000001,1,0,1,0,0,0,0,0,1,65.716286,50% or above
0.73199999,0.068999998,0,0,0,0,0,0,1,0,1,29.703691,below 50%
0.87199998,0.27900001,0,1,0,0,0,0,1,0,1,42.849144,below 50%
0.22,0.081,1,0,0,0,0,0,0,0,1,34.722,below 50%
0.94099998,0.22,0,1,0,0,0,0,0,0,1,63.08514,50% or above
0.94099998,0.22,0,1,0,0,0,0,0,0,1,55.103695,50% or above
0.26699999,0.97600001,1,0,0,0,0,0,0,0,1,37.887188,below 50%
0.26699999,0.116,0,1,0,0,0,0,1,0,1,45.995827,below 50%
0.546,0.65100002,1,0,1,1,1,0,0,1,0,76.673782,50% or above
0.60399997,0.65100002,1,0,1,1,0,1,0,1,0,59.529251,50% or above
0.068999998,0.116,0,1,0,0,0,0,0,0,1,59.863998,50% or above
0.068999998,0.116,0,1,0,0,0,0,0,0,1,52.825947,50% or above
0.15099999,0.22,0,1,0,0,0,0,0,0,1,67.037628,50% or above
0.56900001,0.057999998,0,1,0,0,0,0,1,0,1,34.578991,below 50%
0.96499997,0.76700002,0,0,1,0,0,0,0,0,1,33.43755,below 50%
0.41800001,0.32499999,0,0,1,0,0,0,0,0,0,32.230995,below 50%
0.162,0.116,0,1,0,0,0,0,0,0,0,27.303865,below 50%
0.60399997,0.755,0,1,0,0,0,0,0,0,1,54.861111,50% or above
0.60399997,0.32499999,1,1,0,0,0,0,1,0,0,48.982651,below 50%
0.31299999,0.51099998,1,0,0,0,0,0,0,0,0,43.068897,below 50%
0.17399999,0.011,1,0,0,0,0,0,0,0,1,45.736748,below 50%
0.465,0.32499999,1,0,0,0,0,0,0,1,0,49.653503,below 50%
0.31299999,0.255,0,1,0,0,0,0,0,0,1,47.173229,below 50%
0.546,0.90600002,1,0,1,0,0,1,0,1,0,81.642914,50% or above
