chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,popular
1,0,1,0,0,1,0,1,0,50% or above
1,0,0,0,1,0,0,1,0,50% or above
0,0,0,0,0,0,0,0,0,below 50%
0,0,0,0,0,0,0,0,0,below 50%
0,1,0,0,0,0,0,0,0,50% or above
1,0,0,1,0,0,0,1,0,50% or above
1,0,1,1,1,0,0,1,0,50% or above
0,0,0,1,0,0,0,0,1,below 50%
0,0,0,0,0,0,0,0,1,below 50%
0,1,1,0,0,0,0,0,0,below 50%
1,0,0,0,1,0,0,1,0,below 50%
0,1,0,0,0,0,0,0,1,below 50%
0,1,0,0,0,0,0,0,1,below 50%
0,1,0,0,0,0,0,0,1,below 50%
0,1,0,0,0,0,1,0,0,below 50%
0,1,0,0,0,0,0,0,1,below 50%
0,1,0,0,0,0,1,0,0,below 50%
0,1,0,0,0,0,1,0,1,below 50%
0,1,0,0,0,0,0,0,1,50% or above
0,0,0,0,0,0,0,0,1,below 50%
0,1,0,0,0,0,0,0,1,50% or above
0,1,0,0,0,0,0,0,1,below 50%
1,0,0,0,0,0,0,0,1,50% or above
1,0,0,0,0,1,0,1,0,50% or above
1,0,0,0,0,0,0,1,0,50% or above
1,0,0,0,0,0,0,1,0,50% or above
0,1,0,0,0,0,1,0,1,below 50%
1,0,0,0,0,0,0,0,1,50% or above
1,0,0,0,0,1,0,1,0,50% or above
0,1,0,0,0,0,0,0,0,below 50%
0,1,0,0,0,0,1,0,0,below 50%
0,1,0,0,0,0,0,0,0,50% or above
1,0,0,1,0,0,0,0,1,50% or above
1,0,0,0,0,0,0,0,1,50% or above
0,1,0,0,0,0,0,0,1,below 50%
1,0,1,0,0,0,0,0,1,50% or above
1,0,1,0,1,0,0,1,0,50% or above
1,0,1,0,1,0,0,1,0,50% or above
1,0,1,0,0,0,0,1,0,50% or above
1,0,0,0,0,0,0,1,0,below 50%
1,0,0,1,0,0,0,1,0,50% or above
0,1,0,0,0,0,1,0,1,50% or above
1,0,0,1,0,0,0,1,0,50% or above
1,0,0,0,0,1,0,1,0,50% or above
0,1,0,0,0,0,0,0,1,below 50%
0,1,0,0,0,0,0,0,1,below 50%
0,0,0,1,1,0,0,1,0,below 50%
1,0,0,1,0,0,0,0,1,50% or above
0,0,0,0,0,0,0,0,1,below 50%
0,1,0,0,0,0,1,0,1,below 50%
0,1,0,0,0,0,0,0,1,below 50%
1,0,0,1,0,0,0,0,0,50% or above
1,0,0,1,0,0,0,0,0,50% or above
1,0,0,1,0,0,0,0,1,50% or above
1,0,0,1,0,0,0,0,0,50% or above
0,1,0,0,0,0,1,0,0,below 50%
1,0,1,0,0,0,0,0,1,50% or above
0,0,0,0,0,0,1,0,1,below 50%
0,1,0,0,0,0,1,0,1,below 50%
1,0,0,0,0,0,0,0,1,below 50%
0,1,0,0,0,0,0,0,1,50% or above
0,1,0,0,0,0,0,0,1,50% or above
1,0,0,0,0,0,0,0,1,below 50%
0,1,0,0,0,0,1,0,1,below 50%
1,0,1,1,1,0,0,1,0,50% or above
1,0,1,1,0,1,0,1,0,50% or above
0,1,0,0,0,0,0,0,1,50% or above
0,1,0,0,0,0,0,0,1,50% or above
0,1,0,0,0,0,0,0,1,50% or above
0,1,0,0,0,0,1,0,1,below 50%
0,0,1,0,0,0,0,0,1,below 50%
0,0,1,0,0,0,0,0,0,below 50%
0,1,0,0,0,0,0,0,0,below 50%
0,1,0,0,0,0,0,0,1,50% or above
1,1,0,0,0,0,1,0,0,below 50%
1,0,0,0,0,0,0,0,0,below 50%
1,0,0,0,0,0,0,0,1,below 50%
1,0,0,0,0,0,0,1,0,below 50%
0,1,0,0,0,0,0,0,1,below 50%
1,0,1,0,0,1,0,1,0,50% or above
0,1,0,0,0,0,0,0,0,below 50%
0,1,0,0,0,0,1,0,0,below 50%
0,1,0,0,0,0,0,0,1,below 50%
0,0,1,0,0,0,1,0,0,below 50%
1,0,0,0,0,1,0,0,1,below 50%
